id,titolo,genere,regista,anno,durataMinuti,etaMinima,dataOra,costoBiglietto
1,A Beautiful Mind,Biography,Ron Howard,2001,135,12,2027-12-30 10:30,8.50
2,Good Will Hunting,Drama,Gus Van Sant,1997,126,0,2027-12-29 16:00,8.50
3,The Best Years of Our Lives,Drama,William Wyler,1946,170,12,2027-12-29 12:30,8.50
4,To Have and Have Not,Adventure,Howard Hawks,1944,100,6,2027-12-29 10:00,8.00
5,Blue Velvet,Drama,David Lynch,1986,120,12,2027-12-28 15:30,7.50
6,The Philadelphia Story,Comedy,George Cukor,1940,112,12,2027-12-28 13:00,8.50
7,Good Will Hunting,Drama,Gus Van Sant,1997,126,0,2027-12-28 10:00,6.50
8,The Blues Brothers,Action,John Landis,1980,133,0,2027-12-27 14:00,8.50
9,The Bridge on the River Kwai,Adventure,David Lean,1957,161,6,2027-12-27 10:30,7.50
10,Good Will Hunting,Drama,Gus Van Sant,1997,126,0,2027-12-26 19:30,10.00
11,The Bridge on the River Kwai,Adventure,David Lean,1957,161,6,2027-12-26 16:00,8.50
12,Good Will Hunting,Drama,Gus Van Sant,1997,126,0,2027-12-26 13:00,8.50
13,Blue Velvet,Drama,David Lynch,1986,120,12,2027-12-26 10:00,7.50
14,The Best Years of Our Lives,Drama,William Wyler,1946,170,12,2027-12-25 22:00,10.00
15,Gandhi,Biography,Richard Attenborough,1982,191,0,2027-12-25 18:00,9.00
16,The Lord of the Rings: The Fellowship of the Ring,Action,Peter Jackson,2001,178,0,2027-12-25 14:30,7.00
17,The Lord of the Rings: The Fellowship of the Ring,Action,Peter Jackson,2001,178,0,2027-12-25 10:30,8.00
18,Misery,Drama,Rob Reiner,1990,107,16,2027-12-24 13:30,8.00
19,The Treasure of the Sierra Madre,Adventure,John Huston,1948,126,12,2027-12-24 10:30,8.50
20,The Hurricane,Biography,Norman Jewison,1999,146,16,2027-12-23 10:00,8.50
21,C.R.A.Z.Y.,Comedy,Jean-Marc Vallée,2005,129,12,2027-12-22 17:00,8.00
22,Misery,Drama,Rob Reiner,1990,107,16,2027-12-22 14:30,7.50
23,Veer-Zaara,Drama,Yash Chopra,2004,192,0,2027-12-22 10:30,7.50
24,Primal Fear,Crime,Gregory Hoblit,1996,129,12,2027-12-21 16:00,7.00
25,The Blues Brothers,Action,John Landis,1980,133,0,2027-12-21 13:00,8.00
26,Blue Velvet,Drama,David Lynch,1986,120,12,2027-12-21 10:00,7.50
27,Donnie Darko,Drama,Richard Kelly,2001,113,16,2027-12-20 13:30,7.00
28,Star Trek II: The Wrath of Khan,Action,Nicholas Meyer,1982,113,0,2027-12-20 10:30,8.00
29,The Silence of the Lambs,Crime,Jonathan Demme,1991,118,12,2027-12-19 16:00,7.50
30,Philadelphia,Drama,Jonathan Demme,1993,125,12,2027-12-19 13:00,8.50
31,Primal Fear,Crime,Gregory Hoblit,1996,129,12,2027-12-19 10:00,8.00
32,The Maltese Falcon,Film-Noir,John Huston,1941,100,12,2027-12-18 16:30,8.00
33,The Blues Brothers,Action,John Landis,1980,133,0,2027-12-18 13:30,8.00
34,C.R.A.Z.Y.,Comedy,Jean-Marc Vallée,2005,129,12,2027-12-18 10:30,6.50
35,Primal Fear,Crime,Gregory Hoblit,1996,129,12,2027-12-17 10:00,7.50
36,Cape Fear,Drama,J. Lee Thompson,1962,106,12,2027-12-16 15:00,8.00
37,Shichinin no samurai,Action,Akira Kurosawa,1954,207,0,2027-12-16 10:30,6.50
38,American Psycho,Comedy,Mary Harron,2000,101,12,2027-12-15 16:00,8.00
39,The Others,Horror,Alejandro Amenábar,2001,101,12,2027-12-15 13:30,8.00
40,Blue Velvet,Drama,David Lynch,1986,120,12,2027-12-15 10:30,7.50
